Question,Answer
"จบ.ป.โท รปม.เทียบโอนได้ไหม ค่าใช้จ่ายเท่าไร","สวัสดีค่ะ"
"รับราชการ  20  กว่าปีครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ขอบคุณครับ ขอพิจาณาก่อนนะครับ","รับทราบค่ะนักศึกษา หากนักศึกษาสนใจสมัครช่วงใดสามารถแจ้งอาจารย์ได้เลยนะคะ อาจารย์จะทำการส่งฟอร์มสมัครให้ค่ะ"
"สอบถามหลักสูตรปริญญาโทออนไลน์","สวัสดีค่ะ ปัจจุบันหลักสูตรปริญญาโทเปิดรับสมัครสาขาบริหารการศึกษาอยู่นะคะ ขออนุญาตสอบถามข้อมูลเบื้องต้นนะคะ: - ไม่ทราบว่านักศึกษามีใบประกอบวิชาชีพครูเรียบร้อยแล้วหรือไม่คะ"
"แล้วหลักสูตรอื่นมีเปิดรับอีกทีวันไหนครับ มี รปศ หรือรัฐประศาสนศาสตร์ไหมครับ","หากเป็นสาขา รัฐประศาสนศาสตร์ จะมีเป็นหลักสูตรปริญญาตรีค่ะนักศึกษา ไม่ทราบว่านักศึกษาสานใจหลักสูตรดังกล่าววหรือไม่คะ"
"มีหลักสูตรนิติศาสตร์ ป.โทออนไลน์ไหมครับ","สวัสดีค่ะ ขออภัยค่ะเบื้องต้นทางมหาวิทยาลัยจะยังไม่มีสาขาดังกล่าวนะคะนักศึกษา ขออภัยในความไม่สะดวกค่ะ"
"ราคาเท่าไรคะ","สวัสดีค่ะ"
"เป็นพนักงานมหาวิทยาลัยค่ะ","เพิ่มป้ายอัตโนมัติแล้ว: ตั้งระยะข้อมูลของลูกค้าเป็น ""การรับข้อมูล"" แล้ว"
"รัฐค่ะ","ไม่ทราบว่านักศึกษามีเอกสารรับรองหรือบัตรพนักงานหรือไม่คะ"
"มีบัตรพนักงานค่ะ","อาจารย์ส่งรายละเอียดให้นะคะ"
"ค่ะ","นักศึกษาสามารถเรียนได้นะคะ ซึ่งจะเรียนประมาณ 3 ปีค่ะ เนื่องจากนักศึกษาทำงานในส่วนของภาครัฐ นักศึกษาจะได้รับทุนส่วนลดค่าเทอมนะคะ จากปกติค่าเทอมตลอดหลักสูตร 390,000 บาท เหลือเพียง 350,000 บาทตลอดหลักสูตรค่ะ สามารถผ่อนชำระได้นะคะ"
"พอดีอยู่กทม.ค่ะ","รูปแบบการเรียนจะเป็นการเรียน ออนไลน์เป็นหลักค่ะนักศึกษา ซึ่งจะเรียนในวันเสาร์-วันอาทิตย์ เป็นหลักค่ะ  ช่วงเวลาการเรียนจะขึ้นผู้กับอาจารย์ผู้สอนจะนัดตามรายวิชาค่ะ บางคอร์สอาจจะมีเรียนเฉพาะ วันเสาร์ หรือ วันอาทิตย์ค่ะ หากในกลุ่มเรียนมีความเห็นร่วมกับอาจารย์ผู้สอนว่า อยากให้มีสอนในวันไหนแทน หรือ ช่วงเทศกาลสามารถพูดคุยได้ค่ะ อาจารย์ใจดี และยืดหยุ่นกับนักศึกษามากๆค่ะ"
"เริ่มเรียนเมื่อไรคะ","เบื้องต้นจะมีการปฐมนิเทศในวันที่ 31 มกราคมนี้ค่ะนักศึกษา หากนักศึกษาทำการสมัครเข้ามาสามารถรอปฐมนิเทศและเตรียมความพร้อมก่อนเข้าเรียนช่วง เดือนกุมภาพันธ์ได้เลยนะคะ"
"เรียนยากไหมคะอาจารย์","จะเป็นการปฐมนิเทศที่มหาวิทยาลัยค่ะนักศึกษา หากนักศึกษาไม่สะดวกสามารถแจ้งอาจารย์ผู้สอนได้เลยนะคะ"
"มหาวิทยาลัยอยู่ที่ไหนคะ","เรียนไม่ยากค่ะนักศึกษา จะทำตามพื้นฐานที่ อว. กำหนดค่ะ จะมีอาจารย์สนับสนุนตลอดหลักสูตรจนจบค่ะ นักศึกษาไม่ต้องกังวลนะคะ"
"หนูอยู่กทม.ค่ะ","นักศึกษาส่วนใหญ่ที่ทำการสมัครเข้ามาจะอยู่ต่างหวัดเช่นกันค่ะนักศึกษา นักศึกษาบางคนอยู่ทางภาคใต้ก็มีเช่นกันค่ะนักศึกษา"
"ถ้าสมัครต้องทำอย่างไรบ้างคะ","อาจารย์ทำการส่งฟอร์มสมัครให้นะคะ"
"ได้ค่ะ","นักศึกษาสามารถกรอกฟอร์มสมัครได้เลยนะคะ"
"สภาเพิ่งอนุมัติจบเมื่อวันศุกร์ที่ผ่านมาค่ะ","อาจารย์ขออนุญาตสอบถามค่ะไม่ทราบว่านักศึกษาจะได้รับใบวุฒิการศึกษา/ใบแสดงผลการเรียนช่วงใดคะ"
"ต้องสอบถามทางมหาวิทยาลัยก่อนค่ะ","เบื้องต้นนักศึกษาจบวุฒิปริญญาโทเรียบร้อยแล้วแต่ยังไม่ได้ใบวุฒิการศึกษาถูกต้องหรือไม่คะ"
"ใช่ค่ะ","เบื้องต้นนักศึกษาสามารถชำระค่าสมัครเข้ามาก่อนได้นะคะ เพื่อให้อาจารย์นำรายชื่อเข้าระบบให้ก่อนค่ะ และหากนักศึกษาได้รับวุฒิการศึกษาและใบแสดงผลการเรียนเรียบร้อยแล้วนักศึกษาสามารถแนบเอกสารให้อาจารย์ภายหลังได้ค่ะ"
"ค่อยกรอกข้อมูลทีหลังเหรอคะ","ถูกต้องค่ะนักศึกษา หรือนักศึกษาสามารถกรอกข้อมูลและเอกสารอื่นๆที่นักศึกษามีก่อนได้นะคะและหากนักศึกษาได้รับวุฒิปริญญาโทเรียบร้อยแล้วนักศึกษาสามารถส่งให้อาจารย์ทางช่องแชทนี้ภายหลังได้ค่ะ"
"หรือสอบออนไลน์ได้คะ","จะเป็นการเรียนออนไลน์และสอบออนไลน์เป็นหลักค่ะนักศึกษา"
"ขอบคุณค่ะ","ปภิชญาภรณ์ พุทธนาวงค์ ตอบกลับโฆษณา"
"ต้องชำระเท่าไรคะ","จะมีค่าสมัคร 1,500 บาทค่ะนักศึกษา"
"เริ่มเรียนเดือนไหนถึงเดือนไหนคะ","เบื้องต้นจะมีการปฐมนิเทศในวันที่ 31 มกราคมนี้ค่ะนักศึกษา และจะมีการเตรียมความพร้อมก่อนเข้าเรียนช่วง เดือนกุมภาพันธ์ค่ะนักศึกษา"
"ปฐมนิเทศมีออนไลน์ไหมคะ","นักศึกษาไม่สะดวกเรื่องการเดินทางใช่หรือไม่คะ"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา ไม่ทราบว่านักศึกษาสนใจสมัครเลยหรือไม่คะ เนื่องจากตอนนี้โควต้าที่นั่งเหลือน้อยมากๆแล้วค่ะ หากโควต้าเต็มตามที่ อว. กำหนดจะทำการปิดรับสมัครทันทีนะคะ"
"สนใจค่ะ","นักศึกษาสามารถชำระค่าสมัครเข้ามาก่อนได้นะคะ ค่าสมัคร 1,500 บาทค่ะ หลังจากนักศึกษาชำระค่าสมัครเข้ามาเรียบร้อยแล้วอาจารย์จะนำรายชื่อเข้าระบบให้นะคะ และนักศึกษาสามารถแนบเอกสารให้อาจารย์ภายหลังได้นะคะ"
"เป็นกังวลเรื่องค่าเทอมคะ","นักศึกษาสามารถผ่อนชำระค่าเทอมได้นะคะ ขั้นต่ำเดือนละ 5,000 บาทค่ะ"
"ยังสมัครทันไหมคะ","ทันค่ะนักศึกษา"
"ต้องทำยังไงต่อคะ","รบกวนนักศึกษาแจ้ง ชื่อ-นามสกุล ให้อาจารย์นะคะ"
"น.ส.ปภิชญาภรณ์ พุทธนาวงค์ ค่ะ","อาจารย์ขออนุญาติสอบถามค่ะ ไม่ทราบว่านักศึกษาได้ทำการกรอกฟอร์มสมัครเรียบร้อยแล้วหรือไม่คะ"
"ยังเลยค่ะ","นักศึกษาสามารถกรอกฟอร์มสมัครได้เลยนะคะ เบื้องต้นนักศึกษาสามารถกรอกข้อมูลเบื้องต้นหรือเอกสารอื่นๆที่นักศึกษามีก่อนได้นะคะ ในส่วนของวุฒิปริญญาโทหากนักศึกษาได้รับวุฒิปริญญาโทเรียบร้อยแล้วนักศึกษาสามารถส่งให้อาจารย์ทางช่องแชทนี้ภายหลังได้นะคะ"
"แล้วเรื่องวันเปิดเรียนวันไหนคะ","นักศึกษาจะเริ่มเรียนในช่วงเดือน มิถุนายน 2569 นะคะ"
"รายชื่อนักศึกษา ปรัชญาดุษฎีบัณฑิต สาขารัฐประศาสนศาสตร์ รุ่น 1 มีรายชื่อดังนี้ 1. นางสาว สุพิชชาณัช เดชสุภา 2. นางปาณิษตรา  บุญส่ง 3.ร.ต.อ.ชำนาญ แก้วแกมจันทร์ 4. นายสุธี ตุลสุคนธ์ 5. นายยงยุทธ ทยศยิ่งยง 6. นางสาวณิฐชานันท์ เดี่ยวสันติกุล 7. นางสาวธนัญชญา ตะเที่ยง  8.นายวรเศรษฐ์ คูวิจิตรสุวรรณ 9.นางสาวอภัชชา ศุขสวัสดิ์ 10. นายธนพล ศรีสุขวัฒนชัย 11. นายชาตรี จำลองกุล 12.นายนวพล ขาวสมุทร 13. นางสาวมานิตา มุขยพาณิชย์  14.ร.ต.ท.ไพฑูรย์  บุญแจ้ง 15.นส.สุณัชชนันท์ ธนะกณิกนันต์ 16.นาย อภิรุท  อระโหฐาน 17. น.ส.ปภิชญาภรณ์ พุทธนาวงค์","รบกวนนักศึกษาคัดลอกข้อความนี้และส่งเข้าไปในไลน์กลุ่มนี้ที่อาจารย์แนบให้นะคะ"
"ส่งแล้วนะคะ","รับทราบค่ะนักศึกษา"
"เพราะทำดอกจันท์สีแดง","หากนักศึกษากรอกฟอร์มสมัครเรียบร้อยแล้วรบกวนนักศึกษาแจ้งอาจารย์นะคะ"
"ยังไม่ได้วุฒิเลยอ่ะค่ะ","นักศึกษาสามารถแนบวุฒิปริญญาตรีเข้ามาก่อนได้นะคะ"
"ได้ค่ะ","รับทราบค่ะนักศึกษา"
"กรอกข้อมูลแล้วนะคะ","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"มีกำหนดการปฐมนิเทศไหมคะอาจารย์","หากเป็นในส่วนของกำหนดการของวันปฐมนิเทศทางอาจารย์ประจำหลักสูตรจะเเจ้งให้ทราบอีกครั้งทางไลน์กลุ่มนะคะนักศึกษา"
"ขอบคุณค่ะอาจารย์","ยินดีค่ะนักศึกษา"
"ใบนี้ไหมคะ","ถูกต้องค่ะนักศึกษา"
"จะนั่งจาก กทม. ไปค่ะ","มหาวิทยาลัยตั้งอยู่ที่ อำเภอ สมอแข จังหวัดพิษณุโลกค่ะนักศึกษา"
"อยุ่ใกล้กับอะไรที่จุดสำคัญคะ","https://maps.app.goo.gl/TcxNB3VYHHvyRK1LA"
"เผื่อจะแวะไปพักด้วยค่ะ","เดินทางสะดวกมากๆค่ะนักศึกษา"
"มีแนะนำไหมคะ","จะมีเป็น ทามัน รีสอร์ท ค่ะนักศึกษาห่างจากมหาวิทยาลัยประมาณ 800 เมตรค่ะ"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"วันจันทร์ขอไปสอบถามที่มหาลัยก่อนนะคะ","รับทราบค่ะนักศึกษา"
"จะให้ขอหนังสือรับรองจบก่อนไหมคะ","ได้ค่ะนักศึกษา เนื่องจากอาจารย์จะทำการส่งเอกสารเพิ่มเติมให้กับทางฝ่ายทะเบียนนะคะ"
"พอดีติดต่อทางฝ่ายทะเบียนไว้แล้วค่ะ","รับทราบค่ะนักศึกษา หากนักศึกษาได้รับเอกสารเรียบร้อยแล้วนักศึกษาสามารถส่งมาให้อาจารย์ทางช่องแชทนี้ได้เลยนะคะ"
"หรือต้องส่งแนบไฟล์คะ","อาจารย์รบกวนนักศึกษาไฟล์สแกนที่เป็น PDF ที่ชัดเจนทุกตัวอักษร ชัดเจน ไม่เบลอ ไม่จาง ให้อาจารย์ได้หรือไม่คะ อาจารย์แนะนำให้นักศึกษาโหลดแอพ CamScanner ในการสแกนไฟล์นะคะ เนื่องจากสามารถสแกนเอกสารได้ชัดเจนค่ะ"
"พอดีส่งผ่านช่องแชทนี้ ขึ้นว่าไม่สามารถส่งได้ค่ะ","ไม่เป็นไรค่ะนักศึกษา อาจารย์นำภาพที่นักศึกษาส่งมาดังกล่าวไปสแกนให้เรียบร้อยแล้วค่ะ ขอบคุณนะคะ"
"ยังไม่ได้รหัสนักศึกษาค่ะ","อาจารย์สอบถามฝ่ายทะเบียนในนะคะนักศึกษา"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา หากได้ข้อมูลอย่างไรอาจารย์จะรีบแจ้งให้นักศึกษาทราบนะคะ"
"ขอบคุณค่ะ","สวัสดีค่ะ"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"ชำระค่าเทอมค่ะ","รับทราบค่ะนักศึกษา อาจารย์ดำเนินการให้นะคะ"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"ยอดเหลือเท่าไรคะ","ในส่วนของค่าเทอมในเทอมที่ 1 นักศึกษาได้ทำการชำระเข้ามาจำนวน 5,000 บาท ดังนั้นค่าเทอมในเทอมที่ 1 นักศึกษาจะเหลือยอดที่ต้องชำระ 50,000 บาทนะคะ"
"ค่าเทอมตลอดหลักสูตรยอด 350,000 บาทไหมคะ","ถูกต้องค่ะนักศึกษา นักศึกษาสามารถอ้างอิงได้จากตารางการผ่อนชำระที่อาจารย์ส่งให้ได้เลยนะคะ"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"เห็นเพื่อนมีบัตรอ่ะคะ","เบื้องต้นอาจารย์สอบถามกับอาจารย์ฝ่ายทะเบียนให้เพิ่มเติมนะคะนักศึกษา หากได้ข้อมูลอย่างไรอาจารย์จะแจ้งให้นักศึกษาทราบนะคะ"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"ยังไม่สะดวกค่ะ","อาจารย์ขออนุญาตสอบถามค่ะ ไม่ทราบว่านักศึกษาสะดวกชำระค่าเทอมช่วงใดคะ"
"เดือนหน้านะคะ","สวัสดีค่ะ"
"เดือนหน้านะคะ","รับทราบค่ะนักศึกษา"
"ให้ยอดเดินไรประมาณนี้คะ","นักศึกษาสามารถผ่อนชำระได้นะคะ ขั้นต่ำเดือนละ 5,000 บาทค่ะ"
"ถ้ามีไม่ถึงห้าพัน ชำระได้ไหมคะ","นักศึกษาสามารถทยอยผ่อนชำระได้นะคะ โดยใน 1 เดือนนักศึกษาจำเป็นจะต้องชำระค่าเทอมอย่างน้อยขั้นต่ำเดือนละ 5,000 บาทค่ะ"
"อาจารย์ค่ะ บัตรนักศึกษายังไม่ได้ใช่ไหมคะ","สวัสดีค่ะ เบื้องต้นอาจารย์สอบถามกับฝ่ายหลักสูตรให้เพิ่มเติมนะคะนักศึกษา หากได้ข้อมูลอย่างไรอาจารย์จะแจ้งให้นักศึกษาทราบนะคะ"
"เลยจะมาสอบถามว่าบัตรได้หรือยังคะ พอดีเห็นนักศึกษารหัส 69 ได้บัตรกันแล้วค่ะ","ในส่วนนี้อาจารย์สอบถามข้อมูลเพิ่มเติมกับทางฝ่ายหลักสูตรให้นะคะนักศึกษา หากได้ข้อมูลอย่างไรอาจารย์จะแจ้งให้นักศึกษาทราบนะคะ ขออภัยในความล่าช้าด้วยนะคะนักศึกษา"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"ขอบคุณค่ะ","ยินดีค่ะนักศึกษา"
"สนใจครับ","Chaiyaphorn Intarakunchorn ตอบกลับโฆษณา"
"สนใจครับ","สวัสดีค่ะ"
"วศ.บ. ทำงานรัฐวิสาหกิจ อายุ 52 ครับ","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"สนใจครับ","สวัสดีค่ะ"
"สอบถามครับพระภิกษุสงฆ์เรียนได้มั้ยครับ","สามารถเรียนได้ค่ะนักศึกษา"
"ค่าเทอมตลอดหลักสูตรประมาณเท่ารัยครับ","นักศึกษาสามารถเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาที่สนใจสมัครเรียนในสาขา นิติศาสตร์ อยู่นะคะจากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ขอสละสิทธิ์ไปก่อนครับ","รับทราบค่ะนักศึกษา หากนักศึกษาสะดวกสมัครช่วงใดสามารถแจ้งอาจารย์ได้เลยนะคะ อาจารย์จะทำการส่งฟอร์มสมัครให้ค่ะ"
"สนใจครับ","Chanapa Jampajeam ตอบกลับโฆษณา"
"ค่าเทอมเท่าไรค่ะ ผ่อนจ่ายยังไง","สวัสดีค่ะ"
"พอดีเรียนนิติศาสตร์ผ่าน 7ตัวแล้วเทียบโอนได้ไหค่พ","สามารถนำมาเทียบโอนได้ค่ะนักศึกษา"
"ค่า","นักศึกษาสามารถนำวุฒิและประสบการณ์ทำงานมาลดระยะเวลาในการเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาในวัยทำงานอยู่นะคะ จากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ค่าเรียนเท่าไหร่คะ","สวัสดีค่ะ"
"ครู ป.โทหลักสูตรและการสอนสังคมศึกษาค่ะ","นักศึกษาสามารถเรียนได้นะคะซึ่งจะเรียนประมาณ 3 ปี ค่าเทอมตลดหลักสตร 390,000 บาท สามารถผ่อนชำระได้นะคะ"
"เป็นออนไลน์หรือออนไซด์คะ","รูปแบบการเรียนจะเป็นการเรียนออนไลน์และสอบออนไลน์เป็นหลักค่ะนักศึกษา"
"ต้องมีเข้ามามหาลัยไหมคะ","จะมีเข้ามหาลัยมีน้อยมากค่ะนักศึกษา เนื่องจากทางอาจารย์ผู้สอนคำนึงในเรื่องของภาระหน้าที่การปฏิบัติงานนะคะ จะเข้ามหาลัยตามกิจกรรม ปฐมนิเทศ กับการสอบป้องกันวิทยานิพนธ์และพิธีพระราชทานปริญญาค่ะ แต่อาจจะมีกิจกรรมอื่นๆที่ทางอาจารย์ผู้สอนนัดแยกค่ะ หากมีการเข้ามหาวิทยาลัยจะมีการแจ้งล่วงหน้าที่ตรงกับวัน เสาร์-อาทิตย์ ค่ะ แต่จะเข้ามหาวิทยาลัยน้อยมากๆ นักศึกษาไม่ต้องกังวลนะคะ"
"ขอตัดสินใจก่อนนะคะ","รับทราบค่ะนักศึกษา หากนักศึกษาสนใจสมัครช่วงใดสามารถแจ้งอาจารย์ได้เลยนะคะ อาจารย์จะทำการส่งฟอร์มสมัครให้ค่ะ"
"สนใจครับ","สวัสดีค่ะ"
"ทีโทรสอบถามเลขบัญชีครับ","สวัสดีค่ะ"
"กรอกไม่ได้คับเพราะลืมรหัสผ่านเมลครับขออนุญาตขอเลขบัญชีมหาวิทยาลัยเพื่อชำระค่าสมัครเรียนครับ","💳 ช่องทางการชำระเงินค่าสมัคร: ธนาคารกรุงไทย   ชื่อบัญชี: มหาวิทยาลัยพิษณุโลก   เลขที่บัญชี: 678-9-63851-2"
"สนใจครับ","สวัสดีค่ะ"
"ม.6  กำลังเขาเรียนนายสิบตำรวจ","ไม่ทราบว่านักศึกษามีประสบการณ์ทำงานหรือไม่คะ หากมีนักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"ไม่มีประสบการณ์","นักศึกษาสามารถเรียนได้นะคะ ซึ่งจะเรียนประมาณ 2 ปีค่ะ เนื่องจากตอนนี้ทางมหาวิทยาลัยมีในส่วนของทุนส่วนลดค่าเทอมให้กับนักศึกษาที่สนใจสมัครเรียนในสาขา นิติศาสตร์ อยู่นะคะจากปกติค่าเทอมตลอดหลักสูตร 130,000 บาท เหลือเพียง 90,000 บาทตลอดหลักสูตร สามารถผ่อนชำระได้นะคะ"
"ฉันต้องการข้อมูลเพิ่มเติม","หากนักศึกษามีข้อสงสัยส่วนใด สามารถสอบถามหรือปรึกษาเพิ่มเติมได้เลยนะคะ อาจารย์ยินดีค่ะ"
"สนใจเรียนบัญชีครับ","สวัสดีค่ะ"
"สมาคมบัญชีรับรองมั้ยครับ","จะเป็นการเรียนออนไลน์เป็นหลักค่ะนักศึกษา"
"จบวิศวกรรมโยธา","เบื้องต้นไม่ทราบว่านักศึกษามีประสบการณ์ทำงานประมาณกี่ปีคะ"
"ผมไม่เคยทำบัญชีนะครับ","นักศึกษาสามารถเรียนได้นะคะ ทางอาจารย์ผู้สอนเข้าใจและยืดหยุ่นมากๆค่ะ"
"ครับ","📚 หลักสูตรปริญญาตรี สาขาบัญชี (Bachelor of Accounting) ✨รูปแบบการเรียน จะเรียนออนไลน์เป็นหลัก 💻 เน้นเรียนจริง เข้าใจง่าย เรียนได้จากทุกที่ 📆 เรียนเฉพาะวันเสาร์–อาทิตย์ ไม่กระทบงานประจำ 💸 ค่าใช้จ่ายรวมตลอดหลักสูตร ค่าสมัคร 1,500 บาท (จ่ายตอนสมัคร) ค่าเทอมรวม 90,000 บาท (กรณีเทียบโอน) 👩‍💼 สำหรับข้าราชการ พนักงานรัฐวิสาหกิจ ตำรวจ ทหาร หรือผู้ที่มีงานประจำ สามารถ ผ่อนชำระรายเดือนได้ ตามเงื่อนไขของมหาวิทยาลัย ⏰ ระยะเวลาเรียน เพียง 2 ปี (4 เทอม) ก็สามารถจบและรับปริญญาได้ทันที 🎓 📜 หลักสูตรได้รับการรับรองจาก สำนักงาน ก.พ. และ ก.ค.ศ. อย่างเป็นทางการแล้ว 🏛️ เมื่อจบแล้วสามารถสอบเป็นผู้สอบบัญชี CPA ได้เลย 📣 เปิดรับสมัครถึงวันที่ 30 พฤศจิกายนนี้! หากมีข้อสงสัยหรือสนใจสมัครสามารถแจ้งอาจารย์ได้เลยนะคะ🌟"
"อายุราชการ20ปี","อาจารย์ส่งตารางการผ่อนชำระให้นะคะ"
"จบเร็วกว่านี้ได้มั้ยครับ","นักศึกษาสมัครเข้าระบบมา ทางอาจารย์ประจำหลักสูตรจะมีการเทียบโอนประสบการณ์ทำงานให้เพิ่มเติมนะคะ"
"มีบันทึกไว้ดูทีหลังมั้ยครับ","ไม่ทราบว่านักศึกษาหมายถึงในส่วนใดคะ"
"ครับ","นักศึกษาหมายถึงในส่วนของการเรียนออนไลน์มีวิโอการสอนให้ดูย้อนหลังไหม ใช่หรือไม่คะ"
"เรียนครับ","อาจารย์ส่งฟอร์มสมัครให้นะคะ"
"พอดีผมติดเรียนเสาร์อาทิตย์ครับ","แบบฟอร์มสมัครเรียนปริญญาตรี มหาวิทยาลัยพิษณุโลก https://forms.gle/Aj55YB5TNsKVsu8V7"
"ค่าเทอมยืดหยุ่นได้มั้ยครับ","หากกรอกฟอร์มสมัครเข้ามาเรียบร้อยแล้ว รบกวนแจ้งชื่อ นามสกุลและแนบสลิปค่าสมัครให้อาจารย์ทางแชทนี้นะคะ หรือหากนักศึกษายังไม่สะดวกแนบเอกสารหรือกรอกฟอร์ม สามารถชำระค่าสมัครเข้ามาก่อนได้และกรอกฟอร์มภายหลัง หรือแนบเอกสารทางแชทนี้ภายหลังได้นะคะ  หลังจากชำระค่าสมัคร อาจารย์จะดำเนินการดึงนักศึกษาเข้ากลุ่มไลน์นะคะ"
"สมัครถึงวันไหนครับ","นักศึกษาสามารถผ่อนชำระค่าเทอมได้เดือนละไม่ต่ำกว่า 5,000 บาทนะคะ"
"ถ้าบางเดือนไม่ถึงมีปัญหามั้ยครับ","นักศึกษาสามารถทยอยผ่อนชำระได้นะคะแต่ต้องชำระเดือนละไม่ต่ำกว่า 5,000 บาทค่ะ"
"ครับ","หากนักศึกษากรอกฟอร์มสมัครเข้ามาเรียบร้อยแล้ว รบกวนแจ้งชื่อ นามสกุลและแนบสลิปค่าสมัครให้อาจารย์ทางแชทนี้นะคะ"
"บล็อกคอร์สใช่มั้ยครับ","จะเป็นการเรียนออนไลน์และสอบออนไลน์เป็นหลักค่ะ"
"สวัสดีครับอาจารย์","สวัสดีค่ะ"
"จะเรียนบัญชีครับ","นักศึกษาสนใจสมัครเรียนใบ้หรือไม่คะ"
"เอกสารใช้อะไรบ้างครับ","สามารถสมัครได้เลยค่ะนักศึกษา"
"เรียนกี่ปีครีบ","นักศึกษาจะใช้เวลาเรียนประมาณ 2 ปีนะคะ"
